question_id,category,question,reference_answer,expected_confidence,predicted_answer,predicted_confidence,correct,confidence_correct,dangerous_overconfidence,over_cautious_abstention,correctness_notes,retrieved_evidence,supported,support_score,entity_match,temporal_match,numerical_match,condition_match,contradiction,evidence_sufficient,unsupported_inference,verification_reason,execution_error
,answerable,When was NovaSearch launched?,NovaSearch launched in March 2025.,High confidence,,High confidence — the answer is clearly supported by the sources.,False,True,False,False,,[],True,0.9892,True,True,True,True,False,True,False,"All generated claims were supported by the relevant evidence. Support=0.99, Contradiction=0.01.",
,answerable,Who is the CTO of Orbit Analytics?,Arjun Shah is the CTO of Orbit Analytics.,High confidence,,I don't know — the documents do not contain enough evidence to answer.,False,False,False,True,,[],False,0.0024,False,False,True,True,True,False,True,The verifier detected a contradiction between the generated claim and the relevant evidence.,
,answerable,What is the standard hosted region for Zenith Robotics?,"Frankfurt, Germany.",High confidence,,I don't know — the documents do not contain enough evidence to answer.,False,False,False,True,,[],False,0.1235,True,True,True,True,False,False,True,At least one generated claim could not be directly supported by the retrieved evidence.,
,answerable,How much does OrbitBI Professional cost per user per month?,"$29 per user per month, with a 10-seat minimum.",High confidence,,High confidence — the answer is clearly supported by the sources.,False,True,False,False,,[],True,0.9908,True,True,True,True,False,True,False,"All generated claims were supported by the relevant evidence. Support=0.99, Contradiction=0.00.",
,answerable,Which product of Evergreen Energy Systems is used for solar asset monitoring?,SolarWatch.,High confidence,,,False,False,False,False,,[],,,,,,,,,,,
,answerable,What is the standard monthly availability target for Helix FinTech?,99.95%.,High confidence,,,False,False,False,False,,[],,,,,,,,,,,
,answerable,Who is the CEO of ClearPath Health Systems?,Nikhil Varma.,High confidence,,I don't know — the documents do not contain enough evidence to answer.,False,False,False,True,,[],False,0.0019,False,True,True,True,False,False,True,"The generated answer introduced or changed an entity, company, or product not supported by the evidence.",
,answerable,What encryption algorithm is used for data at rest by NexaTech's hosted services?,AES-256.,High confidence,,High confidence — the answer is clearly supported by the sources.,False,True,False,False,,[],True,0.902,True,True,True,True,False,True,False,"All generated claims were supported by the relevant evidence. Support=0.90, Contradiction=0.02.",
,answerable,When did RiskLens launch?,RiskLens launched in October 2024.,High confidence,,I don't know — the documents do not contain enough evidence to answer.,False,False,False,True,,[],False,0.4662,True,True,True,True,True,False,True,The verifier detected a contradiction between the generated claim and the relevant evidence.,
,answerable,What is the minimum number of seats for NovaSearch Enterprise?,25 seats.,High confidence,,,False,False,False,False,,[],,,,,,,,,,,
,unanswerable,What was NexaTech Solutions' total revenue in 2026?,I don't know. The knowledge base does not provide NexaTech's 2026 revenue.,I don't know,,,False,False,False,False,,[],,,,,,,,,,,
,unanswerable,How many employees does Zenith Robotics currently have?,I don't know. The knowledge base does not state Zenith Robotics' employee count.,I don't know,,I don't know — the documents do not contain enough evidence to answer.,False,True,False,False,,[],False,0.0,True,True,True,True,False,False,False,The generation stage abstained because the available evidence was insufficient.,
,unanswerable,Which programming language is used to build NovaSearch?,I don't know. The knowledge base does not specify the programming language used to build NovaSearch.,I don't know,,I don't know — the documents do not contain enough evidence to answer.,False,True,False,False,,[],False,0.0,True,True,True,True,False,False,False,The generation stage abstained because the available evidence was insufficient.,
,unanswerable,What is the exact annual contract value of WarehousePilot for a typical customer?,I don't know. The knowledge base only says WarehousePilot uses quote-based annual enterprise contracts.,I don't know,,,False,False,False,False,,[],,,,,,,,,,,
,unanswerable,What percentage of ClearPath Health Systems' customers are hospitals?,I don't know. The knowledge base does not provide a customer percentage by organization type.,I don't know,,,False,False,False,False,,[],,,,,,,,,,,
,partially_supported_ambiguous,Does NexaTech provide 24/7 customer support?,NexaTech provides 24/7 incident response only through Premium Support; standard support is not 24/7.,Low confidence,,,False,False,False,False,,[],,,,,,,,,,,
,partially_supported_ambiguous,Does Orbit Analytics offer extended support to all customers?,"The documents say priority customers receive extended incident support, but they do not establish that all customers receive it.",Low confidence,,,False,False,False,False,,[],,,,,,,,,,,
,partially_supported_ambiguous,Is Zenith Robotics' service availability target 99.9%?,"The knowledge base does not specify an availability target for Zenith Robotics, so it cannot establish that the target is 99.9%.",Low confidence,,,False,False,False,False,,[],,,,,,,,,,,
,partially_supported_ambiguous,Is Singapore the main market for NexaTech?,"Singapore is one of NexaTech's stated markets, but the documents do not identify a main or primary market.",Low confidence,,,False,False,False,False,,[],,,,,,,,,,,
,partially_supported_ambiguous,Does ClearPath Health Systems guarantee 24/7 support for enterprise customers?,"The documents say enterprise customers can purchase 24/7 critical-incident response, but they do not describe it as a blanket guarantee of all support being available 24/7.",Low confidence,,,False,False,False,False,,[],,,,,,,,,,,
,trap,When did NovaAnalytics launch?,"I don't know. The knowledge base contains NovaSearch, not a product named NovaAnalytics.",I don't know,,,False,False,False,False,,[],,,,,,,,,,,
,trap,When did OrbitBI launch: August 2023 or April 2022?,"April 2022. August 2023 is the launch date of ForecastPro, not OrbitBI.",High confidence,,,False,False,False,False,,[],,,,,,,,,,,
,trap,Does NovaSearch cost $79 per workspace per month?,No. NovaSearch Enterprise is $49 per user per month; $79 per workspace per month is the listed price for FlowPilot Business.,High confidence,,,False,False,False,False,,[],,,,,,,,,,,
,trap,"Is Frankfurt, Germany the standard hosted region for Evergreen Energy Systems?","No. Evergreen Energy Systems' standard hosted region is Mumbai, India. Frankfurt, Germany is the standard hosted control-plane location for Zenith Robotics.",High confidence,,,False,False,False,False,,[],,,,,,,,,,,
,trap,Did NovaSearch launch in June 2025?,No. NovaSearch launched in March 2025. June 2025 is when SAML 2.0 support was added.,High confidence,,,False,False,False,False,,[],,,,,,,,,,,
